HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Toulouse,Nancy,13.0,9.0,8.0,3.0,3.0,4.0,17.0,9.0,2.0,2.0,0.0,1.0,2.0,0.0,H
Amiens,Guingamp,11.0,20.0,4.0,2.0,3.0,5.0,10.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,H
Bastia,Toulouse,6.0,16.0,2.0,4.0,3.0,8.0,16.0,24.0,3.0,3.0,1.0,1.0,0.0,0.0,D
Dijon,Quevilly Rouen,17.0,7.0,5.0,1.0,4.0,3.0,12.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,H
Dunkerque,Sochaux,4.0,14.0,0.0,3.0,2.0,3.0,20.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,D
Le Havre,Rodez,14.0,3.0,3.0,1.0,4.0,1.0,20.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,D
Caen,Ajaccio,5.0,7.0,4.0,1.0,2.0,6.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,H
Quevilly Rouen,Amiens,13.0,9.0,2.0,4.0,6.0,2.0,14.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,D
Ajaccio,Auxerre,10.0,6.0,4.0,0.0,5.0,7.0,15.0,17.0,3.0,3.0,1.0,0.0,0.0,0.0,D
Caen,Niort,14.0,5.0,2.0,4.0,14.0,0.0,22.0,13.0,3.0,2.0,1.0,0.0,0.0,1.0,A
Dunkerque,Paris FC,7.0,11.0,2.0,6.0,6.0,1.0,10.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,D
Nimes,Valenciennes,14.0,15.0,6.0,4.0,3.0,6.0,20.0,16.0,1.0,2.0,0.0,0.0,2.0,0.0,H
Auxerre,Paris FC,18.0,10.0,5.0,4.0,6.0,2.0,6.0,8.0,1.0,2.0,0.0,0.0,1.0,1.0,A
Niort,Dunkerque,13.0,11.0,5.0,1.0,3.0,6.0,9.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,H
Pau FC,Nimes,21.0,15.0,6.0,8.0,5.0,3.0,19.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,A
Valenciennes,Nancy,17.0,7.0,9.0,2.0,2.0,3.0,17.0,21.0,2.0,5.0,0.0,1.0,5.0,1.0,H
Toulouse,Dijon,15.0,12.0,5.0,4.0,4.0,5.0,12.0,17.0,1.0,2.0,0.0,0.0,2.0,1.0,H
Bastia,Pau FC,17.0,7.0,8.0,1.0,7.0,3.0,16.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,D
Guingamp,Auxerre,12.0,8.0,4.0,3.0,6.0,3.0,9.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,D
Nancy,Caen,13.0,10.0,5.0,5.0,10.0,9.0,10.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,D
Nimes,Dunkerque,10.0,8.0,3.0,1.0,6.0,7.0,18.0,22.0,4.0,4.0,1.0,0.0,0.0,0.0,A
Niort,Le Havre,7.0,13.0,2.0,3.0,4.0,5.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,D
Quevilly Rouen,Grenoble,7.0,12.0,2.0,4.0,3.0,5.0,18.0,14.0,2.0,4.0,0.0,0.0,0.0,0.0,H
Rodez,Valenciennes,15.0,11.0,5.0,1.0,1.0,7.0,16.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,D
Sochaux,Amiens,13.0,7.0,6.0,3.0,10.0,1.0,13.0,13.0,0.0,5.0,0.0,1.0,1.0,1.0,D
Paris FC,Ajaccio,8.0,9.0,2.0,4.0,3.0,7.0,8.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,H
Valenciennes,Toulouse,7.0,17.0,3.0,5.0,4.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,A
Ajaccio,Guingamp,4.0,10.0,1.0,4.0,0.0,6.0,12.0,21.0,1.0,6.0,1.0,1.0,0.0,0.0,A
Amiens,Niort,8.0,15.0,5.0,5.0,2.0,3.0,14.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,H
Auxerre,Nancy,15.0,9.0,3.0,4.0,6.0,5.0,17.0,8.0,3.0,1.0,0.0,0.0,1.0,1.0,D
Caen,Nimes,18.0,7.0,9.0,2.0,8.0,2.0,12.0,6.0,1.0,1.0,0.0,1.0,3.0,0.0,H
Dijon,Pau FC,17.0,12.0,4.0,3.0,7.0,1.0,10.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,A
Dunkerque,Rodez,5.0,11.0,2.0,4.0,2.0,3.0,15.0,13.0,1.0,2.0,0.0,0.0,2.0,0.0,H
Grenoble,Sochaux,15.0,13.0,4.0,5.0,5.0,8.0,14.0,11.0,3.0,2.0,0.0,1.0,1.0,1.0,A
Paris FC,Quevilly Rouen,9.0,8.0,5.0,3.0,4.0,7.0,18.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,H
Le Havre,Bastia,13.0,11.0,4.0,7.0,7.0,3.0,12.0,19.0,1.0,3.0,0.0,0.0,2.0,2.0,A
Grenoble,Niort,9.0,15.0,3.0,2.0,9.0,5.0,14.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,H
Sochaux,Ajaccio,11.0,7.0,5.0,3.0,13.0,5.0,14.0,13.0,3.0,2.0,0.0,1.0,0.0,0.0,A
Bastia,Dijon,8.0,11.0,1.0,2.0,8.0,4.0,18.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,D
Guingamp,Paris FC,9.0,11.0,2.0,2.0,3.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,D
Nancy,Dunkerque,14.0,10.0,9.0,1.0,4.0,4.0,13.0,14.0,1.0,3.0,0.0,0.0,1.0,0.0,H
Nimes,Grenoble,20.0,7.0,11.0,2.0,7.0,3.0,16.0,8.0,3.0,2.0,0.0,1.0,1.0,0.0,H
Niort,Auxerre,15.0,11.0,4.0,3.0,2.0,4.0,9.0,14.0,1.0,2.0,0.0,0.0,0.0,1.0,A
Pau FC,Caen,6.0,18.0,3.0,3.0,4.0,8.0,11.0,22.0,1.0,4.0,0.0,0.0,0.0,0.0,H
Quevilly Rouen,Valenciennes,4.0,15.0,2.0,7.0,6.0,8.0,24.0,15.0,2.0,4.0,0.0,0.0,1.0,1.0,D
Rodez,Amiens,9.0,11.0,4.0,5.0,2.0,4.0,15.0,17.0,1.0,5.0,0.0,0.0,1.0,1.0,D
Toulouse,Le Havre,11.0,6.0,6.0,1.0,2.0,4.0,8.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,H
Paris FC,Sochaux,9.0,6.0,4.0,5.0,7.0,6.0,10.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,H
Ajaccio,Rodez,8.0,8.0,5.0,2.0,8.0,3.0,17.0,16.0,2.0,3.0,0.0,0.0,2.0,1.0,H
Amiens,Nimes,11.0,13.0,5.0,5.0,2.0,10.0,21.0,13.0,2.0,2.0,0.0,0.0,1.0,0.0,H
Auxerre,Quevilly Rouen,12.0,9.0,4.0,2.0,3.0,3.0,13.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,H
Caen,Bastia,12.0,11.0,2.0,3.0,4.0,3.0,15.0,16.0,1.0,4.0,0.0,0.0,1.0,1.0,H
Dunkerque,Dijon,6.0,16.0,3.0,4.0,3.0,6.0,22.0,19.0,1.0,2.0,0.0,0.0,1.0,0.0,H
Guingamp,Niort,12.0,6.0,6.0,2.0,5.0,6.0,12.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,H
Le Havre,Nancy,16.0,7.0,5.0,2.0,6.0,3.0,12.0,11.0,1.0,3.0,0.0,0.0,1.0,0.0,H
Valenciennes,Pau FC,16.0,8.0,9.0,3.0,4.0,2.0,13.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0,H
Grenoble,Toulouse,13.0,9.0,1.0,4.0,11.0,5.0,11.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,A
Nimes,Paris FC,8.0,11.0,4.0,4.0,2.0,5.0,11.0,17.0,1.0,1.0,0.0,0.0,1.0,1.0,D
Bastia,Valenciennes,14.0,6.0,2.0,2.0,8.0,0.0,20.0,11.0,4.0,3.0,0.0,0.0,1.0,1.0,D
Dijon,Caen,7.0,9.0,4.0,3.0,7.0,4.0,12.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,H
Nancy,Grenoble,19.0,4.0,5.0,2.0,4.0,2.0,14.0,14.0,3.0,2.0,1.0,0.0,0.0,0.0,A
Niort,Ajaccio,3.0,11.0,2.0,2.0,1.0,3.0,13.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,A
Pau FC,Amiens,12.0,8.0,3.0,3.0,4.0,4.0,16.0,10.0,2.0,2.0,0.0,1.0,0.0,1.0,H
Quevilly Rouen,Le Havre,8.0,9.0,1.0,4.0,2.0,2.0,20.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,A
Rodez,Auxerre,10.0,14.0,3.0,6.0,4.0,2.0,11.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,A
Sochaux,Guingamp,17.0,16.0,5.0,3.0,9.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,H
