HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Hamburg,Schalke 04,8,30,3,7,6,13,10,8,2,5,0,0,1,0,D
Hannover,Werder Bremen,8,19,7,6,5,5,10,9,1,3,0,0,1,1,A
Karlsruhe,Hansa Rostock,9,18,4,7,0,6,7,14,1,2,0,0,2,1,D
Regensburg,Darmstadt,14,12,5,3,3,2,14,10,1,2,0,0,0,0,A
Dresden,Hamburg,19,10,8,5,4,5,11,14,2,0,0,0,0,1,D
Hansa Rostock,Hannover,13,5,5,2,3,4,13,14,3,2,0,0,0,0,A
Nurnberg,Paderborn,14,16,5,5,3,6,11,12,2,3,0,0,0,2,A
St Pauli,Erzgebirge Aue,12,7,6,3,5,2,8,17,0,2,0,0,1,1,D
Werder Bremen,Fortuna Dusseldorf,18,4,8,0,10,3,16,12,1,0,0,1,0,0,H
Darmstadt,Karlsruhe,27,12,11,2,8,7,8,9,1,1,0,0,0,1,D
Heidenheim,Ingolstadt,11,14,5,3,5,3,13,8,1,3,0,0,1,0,H
Sandhausen,Regensburg,6,15,1,6,0,9,20,15,2,2,0,0,0,2,A
Schalke 04,Holstein Kiel,21,10,4,5,6,4,13,11,0,0,0,0,0,0,D
Fortuna Dusseldorf,Nurnberg,20,15,5,7,7,6,15,10,4,1,0,0,0,1,A
Hamburg,St Pauli,15,12,7,5,7,3,11,7,2,4,0,0,0,1,H
Hansa Rostock,Heidenheim,15,6,3,2,7,5,10,4,1,0,0,0,0,0,D
Ingolstadt,Darmstadt,9,33,3,10,1,6,13,18,2,3,0,0,0,1,A
Paderborn,Werder Bremen,16,19,8,8,3,12,11,11,3,2,0,0,2,1,A
Erzgebirge Aue,Schalke 04,7,18,3,10,0,8,8,11,4,2,0,0,0,2,A
Hannover,Dresden,16,6,6,1,6,5,13,6,2,3,0,1,0,0,D
Regensburg,Holstein Kiel,18,16,5,4,9,3,16,14,2,3,0,0,1,1,A
Heidenheim,Hannover,15,7,6,1,8,2,12,8,1,2,0,0,2,1,H
Nurnberg,Ingolstadt,15,20,3,9,8,4,7,14,1,1,0,0,0,3,A
Sandhausen,Erzgebirge Aue,17,12,8,5,8,1,21,15,4,5,0,0,1,0,H
Schalke 04,Regensburg,11,13,6,2,4,6,13,7,2,3,0,0,0,1,H
Werder Bremen,Karlsruhe,21,12,7,3,3,5,8,16,0,2,0,0,0,0,H
St Pauli,Paderborn,8,14,3,5,2,4,9,10,1,1,0,0,2,1,D
Darmstadt,Hamburg,14,15,2,9,9,5,13,5,1,0,0,0,0,3,A
Dresden,Hansa Rostock,10,22,4,13,8,5,13,10,3,2,0,0,0,4,A
Holstein Kiel,Fortuna Dusseldorf,8,11,3,2,4,3,10,15,1,2,0,0,0,0,H
Karlsruhe,Sandhausen,15,12,0,6,2,0,8,14,0,3,0,0,0,1,A
Erzgebirge Aue,Holstein Kiel,12,12,5,4,5,3,14,11,4,3,1,0,0,2,A
Hansa Rostock,Werder Bremen,13,12,4,3,4,3,19,11,5,4,0,0,0,0,A
Hamburg,Heidenheim,13,10,6,5,3,3,9,16,1,2,0,0,0,0,H
Karlsruhe,Nurnberg,20,14,7,4,12,7,12,11,2,4,0,0,1,1,H
Paderborn,Dresden,18,11,4,2,8,8,5,4,2,1,0,0,0,0,D
Regensburg,St Pauli,22,12,8,6,7,3,7,15,1,2,0,0,0,2,A
Fortuna Dusseldorf,Schalke 04,21,11,6,4,8,2,9,14,2,0,0,0,0,1,H
Hannover,Darmstadt,17,16,5,4,7,4,12,21,2,5,0,0,1,1,D
Ingolstadt,Sandhausen,7,11,1,4,2,2,15,17,5,2,1,0,0,0,D
Dresden,Heidenheim,9,7,2,2,0,5,10,7,1,5,0,0,0,0,D
Schalke 04,Paderborn,15,14,3,6,4,2,14,10,5,1,0,0,1,0,H
Holstein Kiel,Karlsruhe,10,15,2,7,9,2,6,10,2,0,0,0,0,1,A
Sandhausen,Hamburg,4,10,1,2,4,3,12,7,3,1,0,0,1,0,D
Werder Bremen,Ingolstadt,22,13,9,1,12,7,7,15,0,1,0,0,0,0,D
Nurnberg,Regensburg,21,18,11,3,6,4,11,13,3,2,0,0,1,0,H
Darmstadt,Hansa Rostock,21,5,3,3,5,2,10,21,2,3,0,0,1,0,D
