HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTHG,HTAG,FTR
Sampdoria,Milan,14,7,8,5,5,10,12,9,1,4,0,0,1,0,H
Udinese,Genoa,12,15,5,6,3,5,10,18,3,4,0,0,1,0,H
Bologna,Sassuolo,11,5,8,4,9,4,17,18,2,3,0,0,0,0,H
Fiorentina,Torino,16,6,8,2,7,5,15,8,0,2,0,0,1,1,D
Frosinone,Spal,19,5,9,3,8,3,19,14,3,3,0,0,0,1,A
Inter,Lazio,11,6,6,5,12,3,11,13,0,0,0,0,0,1,A
Parma,Atalanta,6,18,4,11,4,6,13,10,1,1,0,0,1,1,A
Roma,Napoli,11,12,5,10,4,7,14,14,4,2,0,0,1,1,A
Cagliari,Juventus,5,11,1,6,3,5,17,10,3,2,0,0,0,1,A
Milan,Udinese,12,7,9,3,7,5,13,11,0,0,0,0,1,0,D
Empoli,Napoli,13,11,9,5,8,2,13,5,2,2,0,0,1,1,H
Frosinone,Parma,14,10,5,6,3,3,14,19,3,4,0,0,2,1,H
Genoa,Inter,5,12,2,9,1,6,9,12,2,1,1,0,0,2,A
Roma,Fiorentina,12,10,6,5,4,6,15,15,3,4,0,0,1,1,D
Spal,Lazio,8,9,4,5,2,7,10,17,2,5,0,0,0,0,H
Torino,Sampdoria,14,6,6,3,6,3,13,12,3,3,0,0,2,0,H
Atalanta,Bologna,12,8,6,4,5,4,11,13,2,3,0,0,4,0,H
Sassuolo,Chievo,13,9,8,5,5,4,14,17,1,1,0,0,2,0,H
Juventus,Milan,10,12,6,5,5,8,21,15,2,2,0,0,0,1,H
Parma,Torino,5,12,1,4,3,4,20,21,4,5,0,0,0,0,D
Sampdoria,Roma,10,9,2,5,8,3,12,11,2,2,0,0,0,0,A
Cagliari,Spal,14,5,11,2,9,4,19,4,4,3,0,0,1,1,H
Fiorentina,Frosinone,14,6,5,3,10,7,19,16,1,4,0,0,0,0,A
Inter,Atalanta,8,5,6,2,8,4,10,13,1,2,0,0,0,0,D
Lazio,Sassuolo,18,3,7,2,11,1,14,8,2,1,0,0,0,0,D
Napoli,Genoa,19,12,10,7,11,6,11,10,2,0,0,1,1,1,D
Udinese,Empoli,14,12,6,6,6,6,8,9,4,4,1,0,3,2,H
Bologna,Chievo,14,4,11,2,6,3,10,22,1,8,0,1,0,0,H
Milan,Lazio,10,8,5,6,11,4,13,16,1,2,0,0,0,0,H
Roma,Udinese,11,7,5,4,7,6,11,13,2,3,0,0,0,0,H
Spal,Juventus,8,4,3,3,5,4,15,14,5,2,0,0,0,1,H
Chievo,Napoli,4,12,4,5,3,7,9,10,0,0,0,0,0,1,A
Fiorentina,Bologna,14,5,7,3,10,5,17,11,2,3,0,0,0,0,D
Frosinone,Inter,10,10,4,5,1,3,19,17,3,1,0,0,0,2,A
Sampdoria,Genoa,13,6,7,1,3,8,15,22,2,5,0,1,1,0,H
Sassuolo,Parma,16,3,8,1,7,3,7,11,3,2,0,0,0,0,D
